店名,業種,エリア,メールアドレス,電話番号,Google評価,レビュー数,HP有無,Instagram,備考,ステータス,送信日,返信日
イザカヤ マルコのガレージ,居酒屋,三軒茶屋,,03-6450-9420,,口コミ329件,あり,https://www.instagram.com/izakaya_marko_no_garage/,HP確認済み: あり(Wix)。営業対象外,HP有り除外,,
ニューマルコ,居酒屋,三軒茶屋,,03-6805-5678,,口コミ494件,あり,https://www.instagram.com/new__marco__/,HP確認済み: あり(marco.tokyo)。営業対象外,HP有り除外,,
三茶 ユキツバキ,居酒屋,三軒茶屋,,03-6450-9844,,口コミ205件,なし,https://www.instagram.com/sancha_yukitsubaki/,食べログ3.59。HP無し確定（Web検索確認済み）,未送信,,
三茶 貝介,居酒屋,三軒茶屋,,03-6453-4361,,口コミ373件,あり,https://www.instagram.com/sancha.kaisuke/,HP確認済み: あり(kemurigroup.com)。営業対象外,HP有り除外,,
三茶一九,居酒屋,三軒茶屋,,03-6805-2333,,口コミ407件,なし,https://www.instagram.com/1919_sanchaikkyu/,食べログ3.45。HP無し確定（Web検索確認済み）,未送信,,
和食 ごしき,居酒屋,三軒茶屋,,03-3795-5300,,口コミ566件,あり,https://www.instagram.com/washokugoshiki/,HP確認済み: あり(washoku-goshiki.com)。営業対象外,HP有り除外,,
大衆酒場 スシスミビ,居酒屋,三軒茶屋,,03-6805-2255,,口コミ351件,あり,https://www.instagram.com/sushisumibi/,HP確認済み: あり(Wix)。営業対象外,HP有り除外,,
寿司とワイン サンチャモニカ,居酒屋,三軒茶屋,,03-6805-2998,,口コミ476件,あり,https://www.instagram.com/sanchamonica55/,HP確認済み: あり(sancha-monica.com)。営業対象外,HP有り除外,,
豚とバラの日々,居酒屋,三軒茶屋,,03-6805-3157,,口コミ315件,あり,https://www.instagram.com/butatobara/,HP確認済み: あり(bravopeoples.com)。営業対象外,HP有り除外,,
食堂かど。,居酒屋,三軒茶屋,,,,口コミ870件,なし,https://www.instagram.com/syokudou.kado/,食べログ3.56。口コミ数多い人気店,未送信,,
KISSA RAY,カフェ,下北沢,kissaray2022@gmail.com,,,口コミ117件,あり,https://www.instagram.com/kissa_ray/,HP確認済み: あり(kissaray.com)。営業対象外,HP有り除外,,
カフェ ヴィエット アルコ,カフェ,下北沢,,03-3468-2200,,口コミ164件,なし,https://www.instagram.com/cafevietarco/,食べログ3.43。HP無し確定（Web検索確認済み）,未送信,,
トロワ・シャンブル,カフェ,下北沢,,03-3419-6943,,口コミ775件,なし,,食べログ3.69高評価。HP無し確定（Web検索確認済み）,未送信,,
ベアポンド エスプレッソ,カフェ,下北沢,bearpondespresso@gmail.com,03-5454-2486,,口コミ266件,あり,https://www.instagram.com/bearpondespresso/,HP確認済み: あり(bearpondespresso.com)。営業対象外,HP有り除外,,
マサコ,カフェ,下北沢,,,,口コミ127件,なし,https://www.instagram.com/jazzkissamasako/,食べログ3.45。HP無し確定（Web検索確認済み）,未送信,,
ラ・パレット,カフェ,下北沢,,03-3465-0740,,口コミ229件,なし,,食べログ3.53。HP無し確定（Web検索確認済み）,未送信,,
喫茶 一房,カフェ,下北沢,,03-6804-0249,,口コミ133件,なし,https://www.instagram.com/kissa_hitofusa/,食べログ3.56。HP無し確定（Web検索確認済み）,未送信,,
喫茶ネグラ,カフェ,下北沢,cafenegura@gmail.com,03-6361-9874,,口コミ176件,なし,https://www.instagram.com/negura.ma/,食べログ3.47。HP無し確定（Web検索確認済み）,未送信,,
D-DRAGON,居酒屋,下北沢,,050-1726-3316,,口コミ202件,なし,https://www.instagram.com/shimokita.d.dragon/,食べログ3.60。HP無し確定（Web検索確認済み）,未送信,,
下北SABA食堂 佐助酒場,居酒屋,下北沢,,050-5448-3370,,口コミ235件,あり,https://www.instagram.com/sasuke_shimokita/,HP確認済み: あり(saba-sasuke.com)。営業対象外,HP有り除外,,
下北六角,居酒屋,下北沢,,03-6450-9177,,口コミ662件,あり,https://www.instagram.com/shimokita.rokkaku/,HP確認済み: あり(marco.tokyo)。営業対象外,HP有り除外,,
下北酒場 こいどろぼう,居酒屋,下北沢,,03-6805-5180,,口コミ155件,なし,https://www.instagram.com/koidoro_shimokita/,食べログ3.34。HP無し確定（Web検索確認済み）,未送信,,
串焼きと煮野菜 零や,居酒屋,下北沢,,03-5738-8017,,口コミ347件,あり,https://www.instagram.com/zeroya_shimokita/,HP確認済み: あり(shimokita-zeroya.com)。営業対象外,HP有り除外,,
焼野菜 銀河団,居酒屋,下北沢,,03-5790-9363,,口コミ256件,あり,https://www.instagram.com/gingadan_shimokita/,HP確認済み: あり(yakiyasai-gingadan.com)。営業対象外,HP有り除外,,
都夏 本店,居酒屋,下北沢,,03-3410-8237,,口コミ394件,あり,https://www.instagram.com/tsuge_shimokitazawa/,HP確認済み: あり(jack-pot.co.jp)。営業対象外,HP有り除外,,
鶏と魚と炭火焼き 燈,居酒屋,下北沢,,03-6804-0780,,口コミ500件,なし,https://www.instagram.com/akari_shimokitazawa/,食べログ3.58。HP無し確定（Web検索確認済み）,未送信,,
CHIYA-BA,カフェ,中目黒,info@chiyaba.com,03-6388-5249,,口コミ261件,あり,https://www.instagram.com/chiya_ba/,HP確認済み: あり(chiyaba.com)。営業対象外,HP有り除外,,
HAUTE COUTURE・CAFE,カフェ,中目黒,,03-6416-9926,,口コミ642件,あり,https://www.instagram.com/hautecouturecafe_official/,HP確認済み: あり(hautecouturecafe.com)。営業対象外,HP有り除外,,
neel 中目黒,カフェ,中目黒,,03-5708-5323,,口コミ422件,あり,https://www.instagram.com/neel__nakameguro/,HP確認済み: あり(neel.coffee)。営業対象外,HP有り除外,,
